iter	Passed	Remaining
640	1217	681
641	1219	679
642	1220	677
643	1222	676
644	1225	674
645	1226	672
646	1228	670
647	1230	668
648	1232	666
649	1234	664
650	1236	662
651	1237	660
652	1239	658
653	1241	656
654	1243	654
655	1245	653
656	1247	651
657	1248	649
658	1251	647
659	1253	645
660	1255	643
661	1256	641
662	1259	639
663	1260	637
664	1262	636
665	1264	634
666	1266	632
667	1268	630
668	1270	628
669	1272	626
670	1275	625
671	1278	624
672	1280	622
673	1282	620
674	1284	618
675	1286	616
676	1288	614
677	1290	612
678	1292	610
679	1294	609
680	1296	607
681	1297	605
682	1299	603
683	1301	601
684	1303	599
685	1305	597
686	1307	595
687	1310	594
688	1312	592
689	1313	590
690	1315	588
691	1317	586
692	1319	584
693	1322	583
694	1324	581
695	1326	579
696	1327	577
697	1329	575
698	1331	573
699	1332	571
700	1334	569
701	1336	567
702	1338	565
703	1340	563
704	1342	561
705	1344	559
706	1346	558
707	1348	556
708	1350	554
709	1353	552
710	1355	550
711	1356	548
712	1358	546
713	1360	545
714	1362	543
715	1364	541
716	1365	538
717	1366	536
718	1369	535
719	1371	533
720	1372	531
721	1374	529
722	1376	527
723	1379	526
724	1381	524
725	1383	522
726	1385	520
727	1387	518
728	1388	516
729	1390	514
730	1393	512
731	1395	510
732	1397	509
733	1398	506
734	1400	504
735	1402	503
736	1404	501
737	1405	499
738	1407	497
739	1409	495
740	1410	493
741	1412	491
742	1413	489
743	1416	487
744	1417	485
745	1419	483
746	1421	481
747	1423	479
748	1424	477
749	1426	475
750	1428	473
751	1430	471
752	1432	469
753	1434	468
754	1436	466
755	1437	464
756	1439	461
757	1441	460
758	1443	458
759	1444	456
760	1446	454
761	1448	452
762	1450	450
763	1452	448
764	1453	446
765	1455	444
766	1457	442
767	1459	440
768	1461	438
769	1463	437
770	1464	435
771	1466	433
772	1468	431
773	1470	429
774	1472	427
775	1474	425
776	1475	423
777	1477	421
778	1479	419
779	1481	417
780	1483	416
781	1485	414
782	1487	412
783	1489	410
784	1491	408
785	1493	406
786	1494	404
787	1496	402
788	1498	400
789	1500	398
790	1502	396
791	1503	394
792	1506	393
793	1508	391
794	1509	389
795	1511	387
796	1513	385
797	1515	383
798	1517	381
799	1519	379
800	1521	377
801	1523	376
802	1524	374
803	1526	372
804	1528	370
805	1530	368
806	1532	366
807	1534	364
808	1535	362
809	1537	360
810	1539	358
811	1541	356
812	1543	355
813	1545	353
814	1547	351
815	1549	349
816	1551	347
817	1552	345
818	1554	343
819	1556	341
820	1558	339
821	1560	337
822	1561	335
823	1563	334
824	1566	332
825	1568	330
826	1570	328
827	1572	326
828	1573	324
829	1575	322
830	1577	320
831	1580	319
832	1582	317
833	1584	315
834	1586	313
835	1588	311
836	1590	309
837	1592	307
838	1594	305
839	1596	304
840	1599	302
841	1600	300
842	1602	298
843	1605	296
844	1607	294
845	1609	292
846	1610	290
847	1612	289
848	1614	287
849	1616	285
850	1618	283
851	1620	281
852	1622	279
853	1624	277
854	1625	275
855	1627	273
856	1629	271
857	1631	270
858	1633	268
859	1635	266
860	1637	264
861	1639	262
862	1640	260
863	1642	258
864	1644	256
865	1646	254
866	1648	252
867	1650	250
868	1652	249
869	1654	247
870	1656	245
871	1658	243
872	1660	241
873	1662	239
874	1664	237
875	1666	235
876	1668	234
877	1670	232
878	1672	230
879	1674	228
880	1676	226
881	1678	224
882	1680	222
883	1682	220
884	1684	218
885	1686	217
886	1688	215
887	1690	213
888	1692	211
889	1695	209
890	1697	207
891	1699	205
892	1700	203
893	1702	201
894	1704	199
895	1706	198
896	1707	196
897	1709	194
898	1711	192
899	1713	190
900	1714	188
901	1716	186
902	1718	184
903	1720	182
904	1721	180
905	1723	178
906	1725	176
907	1727	174
908	1728	173
909	1730	171
910	1732	169
911	1734	167
912	1735	165
913	1737	163
914	1738	161
915	1740	159
916	1742	157
917	1743	155
918	1745	153
919	1747	151
920	1748	149
921	1750	148
922	1752	146
923	1754	144
924	1756	142
925	1758	140
926	1759	138
927	1761	136
928	1763	134
929	1765	132
930	1766	130
931	1768	129
932	1770	127
